postcode,message
BT5 9BD,No coordinates found for postcode
BT5 9BH,No coordinates found for postcode
BT5 9BL,No coordinates found for postcode
BT5 9BR,No coordinates found for postcode
BT5 9BU,No coordinates found for postcode
BT5 9BW,No coordinates found for postcode
BT5 9BX,No coordinates found for postcode
BT5 9DB,No coordinates found for postcode
BT5 9DH,No coordinates found for postcode
BT5 9DQ,No coordinates found for postcode
BT5 9DW,No coordinates found for postcode
BT5 9ED,No coordinates found for postcode
BT5 9EF,No coordinates found for postcode
BT5 9EL,No coordinates found for postcode
BT5 9EP,No coordinates found for postcode
BT5 9EQ,No coordinates found for postcode
BT5 9ER,No coordinates found for postcode
BT5 9ES,No coordinates found for postcode
BT5 9ET,No coordinates found for postcode
BT5 9EU,No coordinates found for postcode
BT5 9EW,No coordinates found for postcode
BT5 9EX,No coordinates found for postcode
BT5 9EY,No coordinates found for postcode
BT5 9FL,No coordinates found for postcode
BT5 9FN,No coordinates found for postcode
BT5 9FP,No coordinates found for postcode
BT5 9FZ,No coordinates found for postcode
BT5 9GD,No coordinates found for postcode
BT5 9GG,No coordinates found for postcode
BT5 9GJ,No coordinates found for postcode
BT5 9GL,No coordinates found for postcode
BT5 9GN,No coordinates found for postcode
BT5 9GP,No coordinates found for postcode
BT5 9GR,No coordinates found for postcode
BT5 9GT,No coordinates found for postcode
BT5 9GX,No coordinates found for postcode
BT5 9GY,No coordinates found for postcode
BT5 9GZ,No coordinates found for postcode
BT5 9HB,No coordinates found for postcode
BT5 9HD,No coordinates found for postcode
BT5 9HE,No coordinates found for postcode
BT5 9HF,No coordinates found for postcode
BT522BD,No coordinates found for postcode
BT522RF,No coordinates found for postcode
BT529AE,No coordinates found for postcode
BT529AF,No coordinates found for postcode
BT529AN,No coordinates found for postcode
BT529BB,No coordinates found for postcode
BT529BD,No coordinates found for postcode
BT529BE,No coordinates found for postcode
BT529BF,No coordinates found for postcode
BT529BL,No coordinates found for postcode
BT529BN,No coordinates found for postcode
BT529BQ,No coordinates found for postcode
BT529BX,No coordinates found for postcode
BT529DB,No coordinates found for postcode
BT529DD,No coordinates found for postcode
BT529DE,No coordinates found for postcode
BT529SA,No coordinates found for postcode
BT529SB,No coordinates found for postcode
BT529SD,No coordinates found for postcode
BT529SE,No coordinates found for postcode
BT529SF,No coordinates found for postcode
BT529SG,No coordinates found for postcode
BT529SH,No coordinates found for postcode
BT529SJ,No coordinates found for postcode
BT529SL,No coordinates found for postcode
BT529SN,No coordinates found for postcode
BT529SP,No coordinates found for postcode
BT529SQ,No coordinates found for postcode
BT529SR,No coordinates found for postcode
BT529SS,No coordinates found for postcode
BT529ST,No coordinates found for postcode
BT529SU,No coordinates found for postcode
BT529SW,No coordinates found for postcode
BT529SX,No coordinates found for postcode
BT529SY,No coordinates found for postcode
BT529SZ,No coordinates found for postcode
BT529TA,No coordinates found for postcode
BT529TB,No coordinates found for postcode
BT537FA,No coordinates found for postcode
BT539AA,No coordinates found for postcode
BT6 9BZ,No coordinates found for postcode
BT610AG,No coordinates found for postcode
BT610AN,No coordinates found for postcode
BT610BR,No coordinates found for postcode
BT610BU,No coordinates found for postcode
BT610DA,No coordinates found for postcode
BT610DD,No coordinates found for postcode
BT610DG,No coordinates found for postcode
BT610DH,No coordinates found for postcode
BT610SS,No coordinates found for postcode
BT635ZU,No coordinates found for postcode
BT642AN,No coordinates found for postcode
BT649AG,No coordinates found for postcode
BT659BT,No coordinates found for postcode
BT659DA,No coordinates found for postcode
BT659DR,No coordinates found for postcode
BT666FE,No coordinates found for postcode
BT667XB,No coordinates found for postcode
BT7 3BF,No coordinates found for postcode
BT7 3LZ,No coordinates found for postcode
BT709AQ,No coordinates found for postcode
BT709BN,No coordinates found for postcode
BT709BX,No coordinates found for postcode
BT709BY,No coordinates found for postcode
BT709BZ,No coordinates found for postcode
BT709DA,No coordinates found for postcode
BT709DH,No coordinates found for postcode
BT709DJ,No coordinates found for postcode
BT709SA,No coordinates found for postcode
BT709SB,No coordinates found for postcode
BT709SD,No coordinates found for postcode
BT709SE,No coordinates found for postcode
BT709SF,No coordinates found for postcode
BT709SG,No coordinates found for postcode
BT709SH,No coordinates found for postcode
BT709SJ,No coordinates found for postcode
BT709SL,No coordinates found for postcode
BT709SN,No coordinates found for postcode
BT709SP,No coordinates found for postcode
BT709SQ,No coordinates found for postcode
BT709SR,No coordinates found for postcode
BT709SS,No coordinates found for postcode
BT709ST,No coordinates found for postcode
BT709SU,No coordinates found for postcode
BT709SW,No coordinates found for postcode
BT709SX,No coordinates found for postcode
BT709SY,No coordinates found for postcode
BT709SZ,No coordinates found for postcode
BT709TA,No coordinates found for postcode
BT709TB,No coordinates found for postcode
BT740AP,No coordinates found for postcode
BT740BL,No coordinates found for postcode
BT740BN,No coordinates found for postcode
BT740BW,No coordinates found for postcode
BT740DB,No coordinates found for postcode
